Column1;Run;Assay Type;AvgSpotLen;Bases;BioProject;BioSample;Bytes;Center Name;Consent;DATASTORE filetype;DATASTORE provider;DATASTORE region;Experiment;Instrument;Library Name;LibraryLayout;LibrarySelection;LibrarySource;Organism;Platform;ReleaseDate;create_date;version;Sample Name;SRA Study;Collection_Date;geo_loc_name_country;geo_loc_name_country_continent;geo_loc_name;BioSampleModel;isolation_source;HOST;lat_lon;isolate;source_material_id;sample_type;strain;env_broad_scale;env_local_scale;env_medium;ENA-FIRST-PUBLIC (run);ENA-LAST-UPDATE (run);Sample_name;Scientific_Name;INSDC_center_name;INSDC_status;Submitter_Id;common_name;ena_first_public;ena_last_update;external_id;INSDC_first_public;INSDC_last_update;ArrayExpress-SPECIES;sample_description;samp_mat_process;ref_biomaterial;collected_by;tissue;source_uvig;virus_enrich_appr;replicate;host_subject_id;project_name;host_common_name;geographic_location_(country_and/or_sea);geographic_location_(latitude);geographic_location_(longitude);host_tissue_sampled;broad-scale_environmental_context;ENA_first_public.1;ENA-STATUS-ID (exp);ENA-STATUS-ID (run);environmental_medium;local_environmental_context;Broker_name;Biological_Replicate;host_scientific_name;lab_host;fasta_file (run);host_taxid;isol_growth_condt;propagation;Host_Age;host_sex;specimen_voucher;host_body_product;host_tot_mass;misc_param;samp_capt_status;sex;BREED;Cultivar;dev_stage;ecotype;sub_species;sequencing_approach;actual_read_length (run);Investigation_type;library_id;RUN (run);total_bases (run);Host_disease;environment_(biome);environment_(feature);environment_(material);host-associated_environmental_package;Sequencing_method;samp_collect_device;SUBMISSION_TOOL (exp);SUBMISSION_TOOL (run);submission_tool;SUBMISSION_TOOL_VERSION (exp);SUBMISSION_TOOL_VERSION (run);SUBMISSION_TOOL_VERSION;genbank_accession;samp_size;sampleNumber;specific_host;virus_enrich_app;altitude;BIOME;env_package;experimental_factor;feature;identified_by;label;material;sample_ID;Host_Diet;organism.1;rel_to_oxygen
129;SRR31113174;RNA-Seq;300;21206700900;PRJNA626677;SAMN44448570;6300953467;UNIVERSITY OF SYDNEY;public;sra,run.zq,fastq;ncbi,s3,gs;gs.us-east1,s3.us-east-1,ncbi.public;SRX26495409;Illumina NovaSeq X;FF_CIBF24;PAIRED;RANDOM;METATRANSCRIPTOMIC;Pteropus melanotus natalis;ILLUMINA;01.11.2025 3:00;31.03.2025 19:51;1;CIBF24;SRP257582;2023-08;Australia;Oceania;Australia:Christmas Island;Model organism or animal;;;;not applicable;;Metagenomic assembly;not applicable;;;;;;;;;;;;;;;;;;;;;"Karrie Rose; Jane Hall";Faeces;;;;;;;;;;;;;;;;;;;;;;;;;;;FF_CIBF24;;;;;not determined;not applicable;not applicable;missing;not applicable;natalis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;SRR31113175;RNA-Seq;300;19153388400;PRJNA626677;SAMN44448569;5802024757;UNIVERSITY OF SYDNEY;public;run.zq,sra,fastq;ncbi,s3,gs;gs.us-east1,s3.us-east-1,ncbi.public;SRX26495408;Illumina NovaSeq X;FF_CIBF22;PAIRED;RANDOM;METATRANSCRIPTOMIC;Pteropus melanotus natalis;ILLUMINA;01.11.2025 3:00;31.03.2025 19:52;1;CIBF22;SRP257582;2023-08;Australia;Oceania;Australia:Christmas Island;Model organism or animal;;;;not applicable;;Metagenomic assembly;not applicable;;;;;;;;;;;;;;;;;;;;;"Karrie Rose; Jane Hall";Faeces;;;;;;;;;;;;;;;;;;;;;;;;;;;FF_CIBF22;;;;;not determined;not applicable;not applicable;missing;not applicable;natalis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;SRR31113176;RNA-Seq;300;19905028500;PRJNA626677;SAMN44448568;5899524836;UNIVERSITY OF SYDNEY;public;sra,run.zq,fastq;s3,gs,ncbi;s3.us-east-1,ncbi.public,gs.us-east1;SRX26495407;Illumina NovaSeq X;FF_CIBF21;PAIRED;RANDOM;METATRANSCRIPTOMIC;Pteropus melanotus natalis;ILLUMINA;01.11.2025 3:00;31.03.2025 19:52;1;CIBF21;SRP257582;2023-08;Australia;Oceania;Australia:Christmas Island;Model organism or animal;;;;not applicable;;Metagenomic assembly;not applicable;;;;;;;;;;;;;;;;;;;;;"Karrie Rose; Jane Hall";Faeces;;;;;;;;;;;;;;;;;;;;;;;;;;;FF_CIBF21;;;;;not determined;not applicable;not applicable;missing;not applicable;natalis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;SRR31113177;RNA-Seq;300;20374767600;PRJNA626677;SAMN44448567;6252248072;UNIVERSITY OF SYDNEY;public;sra,run.zq,fastq;ncbi,gs,s3;gs.us-east1,ncbi.public,s3.us-east-1;SRX26495406;Illumina NovaSeq X;FF_CIBF20;PAIRED;RANDOM;METATRANSCRIPTOMIC;Pteropus melanotus natalis;ILLUMINA;01.11.2025 3:00;31.03.2025 19:51;1;CIBF20;SRP257582;2023-08;Australia;Oceania;Australia:Christmas Island;Model organism or animal;;;;not applicable;;Metagenomic assembly;not applicable;;;;;;;;;;;;;;;;;;;;;"Karrie Rose; Jane Hall";Faeces;;;;;;;;;;;;;;;;;;;;;;;;;;;FF_CIBF20;;;;;not determined;not applicable;not applicable;missing;not applicable;natalis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;SRR31113178;RNA-Seq;300;17951580000;PRJNA626677;SAMN44448566;5305404671;UNIVERSITY OF SYDNEY;public;sra,run.zq,fastq;gs,s3,ncbi;s3.us-east-1,ncbi.public,gs.us-east1;SRX26495405;Illumina NovaSeq X;FF_CIBF18;PAIRED;RANDOM;METATRANSCRIPTOMIC;Pteropus melanotus natalis;ILLUMINA;01.11.2025 3:00;31.03.2025 19:52;1;CIBF18;SRP257582;2023-08;Australia;Oceania;Australia:Christmas Island;Model organism or animal;;;;not applicable;;Metagenomic assembly;not applicable;;;;;;;;;;;;;;;;;;;;;"Karrie Rose; Jane Hall";Faeces;;;;;;;;;;;;;;;;;;;;;;;;;;;FF_CIBF18;;;;;not determined;not applicable;not applicable;missing;not applicable;natalis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;SRR33693687;RNA-Seq;159;587480368;PRJNA1267097;SAMN48726717;261327125;INSTITUT PASTEUR;public;fastq,run.zq,sra;gs,s3,ncbi;ncbi.public,gs.us-east1,s3.us-east-1;SRX28919195;NextSeq 500;RshSTT039;PAIRED;RANDOM;VIRAL RNA;Severe acute respiratory syndrome-related coronavirus;ILLUMINA;25.05.2025 3:00;25.05.2025 11:48;1;RshSTT039;SRP587261;2020-08-18;Cambodia;Asia;Cambodia: Steung Treng;Viral;Rectal swab;Rhinolophus shameli;;RshSTT039;;;;;;;;;;;;;;;;;;;;;;;;Virology unit team;;;;;;;;;;;Rectal swab;;;;;;;;;;;;;;;;;;;;;;;;;;;;RNAseq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;SRR33693688;RNA-Seq;148;888132822;PRJNA1267097;SAMN48726730;380317078;INSTITUT PASTEUR;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,s3.us-east-1,ncbi.public;SRX28919194;NextSeq 500;RshSTT334;PAIRED;RANDOM;VIRAL RNA;Severe acute respiratory syndrome-related coronavirus;ILLUMINA;25.05.2025 3:00;25.05.2025 11:48;1;RshSTT334;SRP587261;2021-03-15;Cambodia;Asia;Cambodia: Steung Treng;Viral;Rectal swab;Rhinolophus shameli;;RshSTT334;;;;;;;;;;;;;;;;;;;;;;;;Virology unit team;;;;;;;;;;;Rectal swab;;;;;;;;;;;;;;;;;;;;;;;;;;;;RNAseq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;SRR33693689;RNA-Seq;302;8348584942;PRJNA1267097;SAMN48726701;2711200410;INSTITUT PASTEUR;public;run.zq,fastq,sra;ncbi,s3,gs;ncbi.public,gs.us-east1,s3.us-east-1;SRX28919193;Illumina NovaSeq 6000;RacSTT345;PAIRED;RANDOM;VIRAL RNA;Severe acute respiratory syndrome-related coronavirus;ILLUMINA;25.05.2025 3:00;25.05.2025 11:50;1;RacSTT345;SRP587261;2023-05-05;Cambodia;Asia;Cambodia: Steung Treng;Viral;Rectal swab;Rhinolophus acuminatus;;RacSTT345;;;;;;;;;;;;;;;;;;;;;;;;Virology unit team;;;;;;;;;;;Rectal swab;;;;;;;;;;;;;;;;;;;;;;;;;;;;RNAseq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;SRR33693690;RNA-Seq;150;717434420;PRJNA1267097;SAMN48726706;346502877;INSTITUT PASTEUR;public;sra,run.zq,fastq;gs,s3,ncbi;ncbi.public,s3.us-east-1,gs.us-east1;SRX28919192;Illumina MiSeq;RacSTT351;PAIRED;RANDOM;VIRAL RNA;Severe acute respiratory syndrome-related coronavirus;ILLUMINA;25.05.2025 3:00;25.05.2025 11:48;1;RacSTT351;SRP587261;2023-05-05;Cambodia;Asia;Cambodia: Steung Treng;Viral;Rectal swab;Rhinolophus acuminatus;;RacSTT351;;;;;;;;;;;;;;;;;;;;;;;;Virology unit team;;;;;;;;;;;Rectal swab;;;;;;;;;;;;;;;;;;;;;;;;;;;;RNAseq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;SRR33693691;RNA-Seq;150;1279378627;PRJNA1267097;SAMN48726740;618758841;INSTITUT PASTEUR;public;fastq,run.zq,sra;ncbi,gs,s3;s3.us-east-1,ncbi.public,gs.us-east1;SRX28919191;Illumina MiSeq;RshSTT570;PAIRED;RANDOM;VIRAL RNA;Severe acute respiratory syndrome-related coronavirus;ILLUMINA;25.05.2025 3:00;25.05.2025 11:48;1;RshSTT570;SRP587261;2023-06-17;Cambodia;Asia;Cambodia: Steung Treng;Viral;Rectal swab;Rhinolophus shameli;;RshSTT570;;;;;;;;;;;;;;;;;;;;;;;;Virology unit team;;;;;;;;;;;Rectal swab;;;;;;;;;;;;;;;;;;;;;;;;;;;;RNAseq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;SRR33693717;RNA-Seq;633;109886717;PRJNA1267097;SAMN48726696;109788495;INSTITUT PASTEUR;public;fastq,sra;gs,ncbi,s3;ncbi.public,s3.us-east-1,gs.us-east1;SRX28919165;GridION;RacSTT333_SISPA;SINGLE;RT-PCR;VIRAL RNA;Severe acute respiratory syndrome-related coronavirus;OXFORD_NANOPORE;25.05.2025 3:00;25.05.2025 11:48;1;RacSTT333_SISPA;SRP587261;2023-05-05;Cambodia;Asia;Cambodia: Steung Treng;Viral;Rectal swab;Rhinolophus acuminatus;;RacSTT333;;;;;;;;;;;;;;;;;;;;;;;;Virology unit team;;;;;;;;;;;Rectal swab;;;;;;;;;;;;;;;;;;;;;;;;;;;;SISPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;SRR33693720;RNA-Seq;590;285603227;PRJNA1267097;SAMN48726699;286957605;INSTITUT PASTEUR;public;fastq,sra;ncbi,gs,s3;ncbi.public,gs.us-east1,s3.us-east-1;SRX28919162;GridION;RacSTT334_SISPA;SINGLE;RT-PCR;VIRAL RNA;Severe acute respiratory syndrome-related coronavirus;OXFORD_NANOPORE;25.05.2025 3:00;25.05.2025 11:48;1;RacSTT334_SISPA;SRP587261;2023-05-05;Cambodia;Asia;Cambodia: Steung Treng;Viral;Rectal swab;Rhinolophus acuminatus;;RacSTT334;;;;;;;;;;;;;;;;;;;;;;;;Virology unit team;;;;;;;;;;;Rectal swab;;;;;;;;;;;;;;;;;;;;;;;;;;;;SISPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;SRR33693725;RNA-Seq;540;1644996741;PRJNA1267097;SAMN48726700;1571653715;INSTITUT PASTEUR;public;sra,fastq;gs,ncbi,s3;s3.us-east-1,gs.us-east1,ncbi.public;SRX28919157;GridION;RacSTT345_SISPA;SINGLE;RT-PCR;VIRAL RNA;Severe acute respiratory syndrome-related coronavirus;OXFORD_NANOPORE;25.05.2025 3:00;25.05.2025 11:49;1;RacSTT345_SISPA;SRP587261;2023-05-05;Cambodia;Asia;Cambodia: Steung Treng;Viral;Rectal swab;Rhinolophus acuminatus;;RacSTT345;;;;;;;;;;;;;;;;;;;;;;;;Virology unit team;;;;;;;;;;;Rectal swab;;;;;;;;;;;;;;;;;;;;;;;;;;;;SISPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;SRR33693727;RNA-Seq;563;268403675;PRJNA1267097;SAMN48726704;269071506;INSTITUT PASTEUR;public;sra,fastq;gs,ncbi,s3;ncbi.public,gs.us-east1,s3.us-east-1;SRX28919155;GridION;RacSTT347_SISPA;SINGLE;RT-PCR;VIRAL RNA;Severe acute respiratory syndrome-related coronavirus;OXFORD_NANOPORE;25.05.2025 3:00;25.05.2025 11:48;1;RacSTT347_SISPA;SRP587261;2023-05-05;Cambodia;Asia;Cambodia: Steung Treng;Viral;Rectal swab;Rhinolophus acuminatus;;RacSTT347;;;;;;;;;;;;;;;;;;;;;;;;Virology unit team;;;;;;;;;;;Rectal swab;;;;;;;;;;;;;;;;;;;;;;;;;;;;SISPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;SRR33693730;RNA-Seq;652;1323733220;PRJNA1267097;SAMN48726705;1243552036;INSTITUT PASTEUR;public;fastq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;SRX28919152;GridION;RacSTT351_SISPA;SINGLE;RT-PCR;VIRAL RNA;Severe acute respiratory syndrome-related coronavirus;OXFORD_NANOPORE;25.05.2025 3:00;25.05.2025 11:49;1;RacSTT351_SISPA;SRP587261;2023-05-05;Cambodia;Asia;Cambodia: Steung Treng;Viral;Rectal swab;Rhinolophus acuminatus;;RacSTT351;;;;;;;;;;;;;;;;;;;;;;;;Virology unit team;;;;;;;;;;;Rectal swab;;;;;;;;;;;;;;;;;;;;;;;;;;;;SISPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;SRR33693731;RNA-Seq;668;327481023;PRJNA1267097;SAMN48726715;325325519;INSTITUT PASTEUR;public;sra,fastq;s3,ncbi,gs;ncbi.public,gs.us-east1,s3.us-east-1;SRX28919151;GridION;RpuSTT361_SISPA;SINGLE;RT-PCR;VIRAL RNA;Severe acute respiratory syndrome-related coronavirus;OXFORD_NANOPORE;25.05.2025 3:00;25.05.2025 11:48;1;RpuSTT361_SISPA;SRP587261;2023-05-06;Cambodia;Asia;Cambodia: Steung Treng;Viral;Rectal swab;Rhinolophus pusillus;;RpuSTT361;;;;;;;;;;;;;;;;;;;;;;;;Virology unit team;;;;;;;;;;;Rectal swab;;;;;;;;;;;;;;;;;;;;;;;;;;;;SISPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;SRR33638436;RNA-Seq;300;55485600;PRJNA1108654;SAMN48602382;36601086;RESEACH INSTITUTE FOR SYSTEM BIOLOGY AND MEDICINE;public;fastq,run.zq,sra;s3,ncbi,gs;ncbi.public,gs.us-east1,s3.us-east-1;SRX28866237;DNBSEQ-G400;bat2018_17_1;PAIRED;cDNA;METATRANSCRIPTOMIC;Bat coronavirus;DNBSEQ;20.05.2025 3:00;20.05.2025 10:42;1;bat2018_17_1;SRP506518;2018;Russia;Europe;Russia;Viral;feces;Myotis dasycneme;;bat17_2018_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;SRR33638448;RNA-Seq;300;389662800;PRJNA1108654;SAMN48602387;238147778;RESEACH INSTITUTE FOR SYSTEM BIOLOGY AND MEDICINE;public;run.zq,sra,fastq;s3,ncbi,gs;s3.us-east-1,gs.us-east1,ncbi.public;SRX28866225;DNBSEQ-G400;bat2018_23_2;PAIRED;cDNA;METATRANSCRIPTOMIC;Bat coronavirus;DNBSEQ;20.05.2025 3:00;20.05.2025 10:43;1;bat2018_23_2;SRP506518;2018;Russia;Europe;Russia;Viral;feces;Myotis daubentonii;;bat23_2018_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;SRR33638449;RNA-Seq;300;65033700;PRJNA1108654;SAMN48602386;44902281;RESEACH INSTITUTE FOR SYSTEM BIOLOGY AND MEDICINE;public;run.zq,sra,fastq;gs,s3,ncbi;gs.us-east1,ncbi.public,s3.us-east-1;SRX28866224;DNBSEQ-G400;bat2018_23_1;PAIRED;cDNA;METATRANSCRIPTOMIC;Bat coronavirus;DNBSEQ;20.05.2025 3:00;20.05.2025 10:42;1;bat2018_23_1;SRP506518;2018;Russia;Europe;Russia;Viral;feces;Myotis daubentonii;;bat23_2018_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;SRR33638450;RNA-Seq;300;87833400;PRJNA1108654;SAMN48602385;56292267;RESEACH INSTITUTE FOR SYSTEM BIOLOGY AND MEDICINE;public;sra,fastq,run.zq;gs,s3,ncbi;gs.us-east1,ncbi.public,s3.us-east-1;SRX28866223;DNBSEQ-G400;bat2018_21_2;PAIRED;cDNA;METATRANSCRIPTOMIC;Bat coronavirus;DNBSEQ;20.05.2025 3:00;20.05.2025 10:42;1;bat2018_21_2;SRP506518;2018;Russia;Europe;Russia;Viral;feces;Myotis daubentonii;;bat21_2018_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;SRR33638451;RNA-Seq;300;98922300;PRJNA1108654;SAMN48602384;63409033;RESEACH INSTITUTE FOR SYSTEM BIOLOGY AND MEDICINE;public;run.zq,sra,fastq;gs,ncbi,s3;ncbi.public,gs.us-east1,s3.us-east-1;SRX28866222;DNBSEQ-G400;bat2018_21_1;PAIRED;cDNA;METATRANSCRIPTOMIC;Bat coronavirus;DNBSEQ;20.05.2025 3:00;20.05.2025 10:42;1;bat2018_21_1;SRP506518;2018;Russia;Europe;Russia;Viral;feces;Myotis daubentonii;;bat21_2018_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;SRR27467480;RNA-Seq;300;1233030300;PRJNA1062728;SAMN39313399;474176313;INSTITUT PASTEUR OF SHANGHAI;public;fastq,sra,run.zq;ncbi,gs,s3;ncbi.public,gs.us-east1,s3.us-east-1;SRX23139034;Illumina NovaSeq 6000;YN-7-117;PAIRED;RANDOM PCR;TRANSCRIPTOMIC;bat metagenome;ILLUMINA;01.07.2025 3:00;11.01.2024 11:24;1;YN-pool 117;SRP482616;2020-09-24;China;Asia;China: Yunnan;Metagenome or environmental;rectal swab from bat;Chiroptera;24.84 N 102.60 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;YN-7-117_FKDL210009255-1a-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;SRR27467481;RNA-Seq;300;1090458600;PRJNA1062728;SAMN39313398;429044120;INSTITUT PASTEUR OF SHANGHAI;public;sra,run.zq,fastq;ncbi,s3,gs;ncbi.public,s3.us-east-1,gs.us-east1;SRX23139033;Illumina NovaSeq 6000;YN-6-115;PAIRED;RANDOM PCR;TRANSCRIPTOMIC;bat metagenome;ILLUMINA;01.07.2025 3:00;11.01.2024 10:57;1;YN-pool 115;SRP482616;2020-09-24;China;Asia;China: Yunnan;Metagenome or environmental;rectal swab from bat;Chiroptera;24.84 N 102.60 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;YN-6-115_FKDL210009254-1a-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;SRR27467482;RNA-Seq;300;1264901400;PRJNA1062728;SAMN39313397;509372431;INSTITUT PASTEUR OF SHANGHAI;public;sra,run.zq,fastq;ncbi,s3,gs;gs.us-east1,ncbi.public,s3.us-east-1;SRX23139032;Illumina NovaSeq 6000;YN-5-114;PAIRED;RANDOM PCR;TRANSCRIPTOMIC;bat metagenome;ILLUMINA;01.07.2025 3:00;11.01.2024 11:05;1;YN-pool 114;SRP482616;2020-09-24;China;Asia;China: Yunnan;Metagenome or environmental;rectal swab from bat;Chiroptera;24.84 N 102.60 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;YN-5-114_FKDL210009253-1a-34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;SRR27467483;RNA-Seq;300;577803300;PRJNA1062728;SAMN39313396;230542239;INSTITUT PASTEUR OF SHANGHAI;public;sra,run.zq,fastq;ncbi,s3,gs;gs.us-east1,ncbi.public,s3.us-east-1;SRX23139031;Illumina NovaSeq 6000;YN-8-111;PAIRED;RANDOM PCR;TRANSCRIPTOMIC;bat metagenome;ILLUMINA;01.07.2025 3:00;11.01.2024 10:54;1;YN-pool 111;SRP482616;2020-09-19;China;Asia;China: Yunnan;Metagenome or environmental;rectal swab from bat;Chiroptera;25.39 N 102.54 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;YN-8-111_FKDL210009256-1a-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;SRR27467484;RNA-Seq;300;1114513200;PRJNA1062728;SAMN39313395;439365114;INSTITUT PASTEUR OF SHANGHAI;public;run.zq,sra,fastq;s3,gs,ncbi;ncbi.public,s3.us-east-1,gs.us-east1;SRX23139030;Illumina NovaSeq 6000;YN-7-109;PAIRED;RANDOM PCR;TRANSCRIPTOMIC;bat metagenome;ILLUMINA;01.07.2025 3:00;11.01.2024 11:05;1;YN-pool 109;SRP482616;2020-09-28;China;Asia;China: Yunnan;Metagenome or environmental;rectal swab from bat;Chiroptera;24.91 N 103.40 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;YN-7-109_FKDL210009255-1a-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;SRR27467485;RNA-Seq;300;770084400;PRJNA1062728;SAMN39313394;310326032;INSTITUT PASTEUR OF SHANGHAI;public;sra,run.zq,fastq;gs,s3,ncbi;s3.us-east-1,ncbi.public,gs.us-east1;SRX23139029;Illumina NovaSeq 6000;YN-6-100;PAIRED;RANDOM PCR;TRANSCRIPTOMIC;bat metagenome;ILLUMINA;01.07.2025 3:00;11.01.2024 10:55;1;YN-pool 100;SRP482616;2020-09-30;China;Asia;China: Yunnan;Metagenome or environmental;rectal swab from bat;Chiroptera;24.62 N 103.26 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;YN-6-100_FKDL210009254-1a-32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;SRR27467486;RNA-Seq;300;820209300;PRJNA1062728;SAMN39313393;323687689;INSTITUT PASTEUR OF SHANGHAI;public;sra,run.zq,fastq;s3,gs,ncbi;s3.us-east-1,gs.us-east1,ncbi.public;SRX23139028;Illumina NovaSeq 6000;YN-6-99;PAIRED;RANDOM PCR;TRANSCRIPTOMIC;bat metagenome;ILLUMINA;01.07.2025 3:00;11.01.2024 10:56;1;YN-pool 99;SRP482616;2020-10-01;China;Asia;China: Yunnan;Metagenome or environmental;rectal swab from bat;Chiroptera;24.61 N 103.26 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;YN-6-99_FKDL210009254-1a-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;SRR27467487;RNA-Seq;300;507501300;PRJNA1062728;SAMN39313392;208540420;INSTITUT PASTEUR OF SHANGHAI;public;sra,run.zq,fastq;s3,ncbi,gs;ncbi.public,s3.us-east-1,gs.us-east1;SRX23139027;Illumina NovaSeq 6000;YN-6-96;PAIRED;RANDOM PCR;TRANSCRIPTOMIC;bat metagenome;ILLUMINA;01.07.2025 3:00;11.01.2024 10:53;1;YN-pool 96;SRP482616;2020-09-24;China;Asia;China: Yunnan;Metagenome or environmental;rectal swab from bat;Chiroptera;24.84 N 102.60 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;YN-6-96_FKDL210009254-1a-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;SRR27467488;RNA-Seq;300;598205700;PRJNA1062728;SAMN39313391;244525067;INSTITUT PASTEUR OF SHANGHAI;public;run.zq,fastq,sra;ncbi,gs,s3;gs.us-east1,ncbi.public,s3.us-east-1;SRX23139026;Illumina NovaSeq 6000;YN-Library_2-51;PAIRED;RANDOM PCR;TRANSCRIPTOMIC;bat metagenome;ILLUMINA;01.07.2025 3:00;11.01.2024 10:59;1;YN-pool 51;SRP482616;2020-10-01;China;Asia;China: Yunnan;Metagenome or environmental;rectal swab from bat;Chiroptera;24.61 N 103.26 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;YN-Library_2-51_FKDL210007860-1a-17-AK4544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;SRR27467489;RNA-Seq;300;910018500;PRJNA1062728;SAMN39313390;365495504;INSTITUT PASTEUR OF SHANGHAI;public;fastq,sra,run.zq;s3,gs,ncbi;ncbi.public,s3.us-east-1,gs.us-east1;SRX23139025;Illumina NovaSeq 6000;YN-Library_1-41;PAIRED;RANDOM PCR;TRANSCRIPTOMIC;bat metagenome;ILLUMINA;01.07.2025 3:00;11.01.2024 11:00;1;YN-pool 41;SRP482616;2020-09-24;China;Asia;China: Yunnan;Metagenome or environmental;rectal swab from bat;Chiroptera;24.84 N 102.60 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;YN-Library_1-41_FKDL210007859-1a-19-AK4544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;SRR33638435;RNA-Seq;300;45339300;PRJNA1108654;SAMN48602383;32364658;RESEACH INSTITUTE FOR SYSTEM BIOLOGY AND MEDICINE;public;sra,fastq,run.zq;ncbi,gs,s3;ncbi.public,s3.us-east-1,gs.us-east1;SRX28866238;DNBSEQ-G400;bat2018_17_2;PAIRED;cDNA;METATRANSCRIPTOMIC;Bat coronavirus;DNBSEQ;20.05.2025 3:00;20.05.2025 10:42;1;bat2018_17_2;SRP506518;2018;Russia;Europe;Russia;Viral;feces;Myotis dasycneme;;bat17_2018_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
