,ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate_x,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,1A,1A-strand,1B,1B-strand,2,2-strand,class
2342,OQ802736,OQ802736.1,MAG: Longquan bat astrovirus 1 isolate LQ_Rh.pearsonii_astro_2 genomic sequence,30-OCT-2023,Longquan bat astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,2723.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,LQ_Rh.pearsonii_astro_2,China: Longquan,,2016/2017,,Rhinolophus pearsonii,Yes,2.0,No,No,0-1143,1.0,1103-2723,1.0,NA-NA,,Mammalia
2343,OQ802735,OQ802735.1,MAG: Longquan bat astrovirus 1 isolate LQ_Rh.pearsonii_astro_1 genomic sequence,30-OCT-2023,Longquan bat astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,557.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,LQ_Rh.pearsonii_astro_1,China: Longquan,,2016/2017,,Rhinolophus pearsonii,Yes,1.0,No,No,NA-NA,,2-557,1.0,NA-NA,,Mammalia
2344,OQ802734,OQ802734.1,MAG: Longquan bat astrovirus 1 isolate LQ_My.chinensis_astro_1 genomic sequence,30-OCT-2023,Longquan bat astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1732.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,LQ_My.chinensis_astro_1,China: Longquan,,2016/2017,,Myotis chinensis,Yes,1.0,No,No,1-91,1.0,90-1716,1.0,NA-NA,,Mammalia
2364,OQ802714,OQ802714.1,MAG: Jingmen bat bastrovirus 2 isolate JM_Rh.sinicus_bastro_1 genomic sequence,30-OCT-2023,Jingmen bat bastrovirus 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,481.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_Rh.sinicus_bastro_1,China: Jingmen,,2016/2017,,Rhinolophus sinicus,Yes,1.0,No,No,NA-NA,,1-481,1.0,NA-NA,,Mammalia
2365,OQ802713,OQ802713.1,MAG: Jingmen bat bastrovirus 1 isolate JM_Mi.schreibersii_bastro_1 genomic sequence,30-OCT-2023,Jingmen bat bastrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5527.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_Mi.schreibersii_bastro_1,China: Jingmen,,2016/2017,,Miniopterus schreibersii,Yes,2.0,No,No,NA-NA,,NA-NA,,4292-5336,1.0,Mammalia
2366,OQ802712,OQ802712.1,MAG: Jingmen bat astrovirus 12 isolate JM_Rh.sinicus_astro_2 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 12,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6488.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_Rh.sinicus_astro_2,China: Jingmen,,2016/2017,,Rhinolophus sinicus,Yes,3.0,No,No,6-2670,1.0,2546-4163,1.0,4059-6186,1.0,Mammalia
2367,OQ802711,OQ802711.1,MAG: Jingmen bat astrovirus 12 isolate JM_Rh.sinicus_astro_1 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 12,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,681.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_Rh.sinicus_astro_1,China: Jingmen,,2016/2017,,Rhinolophus sinicus,Yes,2.0,No,No,NA-NA,,1-439,1.0,428-681,1.0,Mammalia
2368,OQ802710,OQ802710.1,MAG: Jingmen bat astrovirus 11 isolate JM_My.chinensis_astro_6 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 11,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5051.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_My.chinensis_astro_6,China: Jingmen,,2016/2017,,Myotis chinensis,Yes,3.0,No,No,1-1204,1.0,1170-2757,1.0,2743-4927,1.0,Mammalia
2369,OQ802709,OQ802709.1,MAG: Jingmen bat astrovirus 10 isolate JM_My.chinensis_astro_5 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 10,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,568.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_My.chinensis_astro_5,China: Jingmen,,2016/2017,,Myotis chinensis,Yes,1.0,No,No,NA-NA,,1-568,1.0,NA-NA,,Mammalia
2370,OQ802708,OQ802708.1,MAG: Jingmen bat astrovirus 9 isolate JM_My.chinensis_astro_4 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 9,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,966.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_My.chinensis_astro_4,China: Jingmen,,2016/2017,,Myotis chinensis,Yes,1.0,No,No,NA-NA,,1-966,1.0,NA-NA,,Mammalia
2371,OQ802707,OQ802707.1,MAG: Jingmen bat astrovirus 8 isolate JM_My.davidii_astro_1 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,768.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_My.davidii_astro_1,China: Jingmen,,2016/2017,,Myotis davidii,Yes,1.0,No,No,NA-NA,,1-768,1.0,NA-NA,,Mammalia
2372,OQ802706,OQ802706.1,MAG: Jingmen bat astrovirus 8 isolate JM_My.chinensis_astro_3 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6668.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_My.chinensis_astro_3,China: Jingmen,,2016/2017,,Myotis chinensis,Yes,3.0,No,No,21-2661,1.0,2615-4217,1.0,4161-6354,1.0,Mammalia
2373,OQ802705,OQ802705.1,MAG: Jingmen bat astrovirus 8 isolate JM_My.chinensis_astro_2 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,248.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_My.chinensis_astro_2,China: Jingmen,,2016/2017,,Myotis chinensis,Yes,1.0,No,No,NA-NA,,1-248,1.0,NA-NA,,Mammalia
2374,OQ802704,OQ802704.1,MAG: Jingmen bat astrovirus 8 isolate JM_My.chinensis_astro_1 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6661.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_My.chinensis_astro_1,China: Jingmen,,2016/2017,,Myotis chinensis,Yes,3.0,No,No,18-2658,1.0,2612-4214,1.0,4158-6351,1.0,Mammalia
2375,OQ802703,OQ802703.1,MAG: Jingmen bat astrovirus 7 isolate JM_Mi.schreibersii_astro_6 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 7,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,779.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_Mi.schreibersii_astro_6,China: Jingmen,,2016/2017,,Miniopterus schreibersii,Yes,1.0,No,No,NA-NA,,2-779,1.0,NA-NA,,Mammalia
2376,OQ802702,OQ802702.1,MAG: Jingmen bat astrovirus 6 isolate JM_Mi.schreibersii_astro_5 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 6,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,890.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_Mi.schreibersii_astro_5,China: Jingmen,,2016/2017,,Miniopterus schreibersii,Yes,1.0,No,No,NA-NA,,2-887,1.0,NA-NA,,Mammalia
2377,OQ802701,OQ802701.1,MAG: Jingmen bat astrovirus 5 isolate JM_Mi.schreibersii_astro_4 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 5,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1063.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_Mi.schreibersii_astro_4,China: Jingmen,,2016/2017,,Miniopterus schreibersii,Yes,1.0,No,No,NA-NA,,0-1063,1.0,NA-NA,,Mammalia
2378,OQ802700,OQ802700.1,MAG: Jingmen bat astrovirus 4 isolate JM_Mi.schreibersii_astro_3 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 4,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3217.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_Mi.schreibersii_astro_3,China: Jingmen,,2016/2017,,Miniopterus schreibersii,Yes,2.0,No,No,NA-NA,,0-1395,1.0,1378-3217,1.0,Mammalia
2379,OQ802699,OQ802699.1,MAG: Jingmen bat astrovirus 3 isolate JM_Mi.schreibersii_astro_2 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 3,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3769.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_Mi.schreibersii_astro_2,China: Jingmen,,2016/2017,,Miniopterus schreibersii,Yes,3.0,No,No,2-2318,1.0,2278-3292,1.0,3083-3769,1.0,Mammalia
2380,OQ802698,OQ802698.1,MAG: Jingmen bat astrovirus 2 isolate JM_Mi.schreibersii_astro_1 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6585.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_Mi.schreibersii_astro_1,China: Jingmen,,2016/2017,,Miniopterus schreibersii,Yes,3.0,No,No,6-2544,1.0,2501-4070,1.0,4088-6305,1.0,Mammalia
2381,OQ802697,OQ802697.1,MAG: Jingmen bat astrovirus 1 isolate JM_Hi.pratti_astro_1 genomic sequence,30-OCT-2023,Jingmen bat astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,11514.0,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_Hi.pratti_astro_1,China: Jingmen,,2016/2017,,Hipposideros pratti,Yes,4.0,No,No,NA-NA,,5740-7849,1.0,NA-NA,,Mammalia
2419,OR439362,OR439362.1,"Bat bastrovirus isolate BastroV-HMU-6 nonstructural protein and capsid protein genes, complete cds",04-OCT-2023,Bat bastrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5588.0,"Li,Z., Li,Y., Wang,G., Du,J., Yin,F. and Tang,C.",,BastroV-HMU-6,China,,Oct-2015,anal swab,Rhinolophus affinis,No,2.0,No,No,NA-NA,,74-4298,1.0,4323-5376,1.0,Mammalia
2472,OQ271203,OQ271203.1,"Mamastrovirus sp. isolate MAG-996 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-996,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2473,OQ271202,OQ271202.1,"Mamastrovirus sp. isolate MAG-992 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-992,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2474,OQ271201,OQ271201.1,"Mamastrovirus sp. isolate MAG-987 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-987,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2475,OQ271200,OQ271200.1,"Mamastrovirus sp. isolate MAG-980 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-980,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2476,OQ271199,OQ271199.1,"Mamastrovirus sp. isolate MAG-977 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-977,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2477,OQ271198,OQ271198.1,"Mamastrovirus sp. isolate MAG-967 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-967,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2478,OQ271197,OQ271197.1,"Mamastrovirus sp. isolate MAG-960 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-960,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2479,OQ271196,OQ271196.1,"Mamastrovirus sp. isolate MAG-958 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-958,Zimbabwe,,2020,feces,bat,No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2480,OQ271195,OQ271195.1,"Mamastrovirus sp. isolate MAG-957 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-957,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2481,OQ271194,OQ271194.1,"Mamastrovirus sp. isolate MAG-943 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-943,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2482,OQ271193,OQ271193.1,"Mamastrovirus sp. isolate MAG-940 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-940,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2483,OQ271192,OQ271192.1,"Mamastrovirus sp. isolate MAG-938 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-938,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2484,OQ271191,OQ271191.1,"Mamastrovirus sp. isolate MAG-883 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-883,Zimbabwe,,2020,feces,bat,No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2485,OQ271190,OQ271190.1,"Mamastrovirus sp. isolate MAG-864 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-864,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2486,OQ271189,OQ271189.1,"Mamastrovirus sp. isolate MAG-862 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-862,Zimbabwe,,2020,feces,Rhinolophus sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2487,OQ271188,OQ271188.1,"Mamastrovirus sp. isolate MAG-861 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-861,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2488,OQ271187,OQ271187.1,"Mamastrovirus sp. isolate MAG-859 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-859,Zimbabwe,,2020,feces,Rhinolophus sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2489,OQ271186,OQ271186.1,"Mamastrovirus sp. isolate MAG-857 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-857,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2490,OQ271185,OQ271185.1,"Mamastrovirus sp. isolate MAG-849 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-849,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2491,OQ271184,OQ271184.1,"Mamastrovirus sp. isolate MAG-845 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-845,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2492,OQ271183,OQ271183.1,"Mamastrovirus sp. isolate MAG-840 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-840,Zimbabwe,,2020,feces,Rhinolophus sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2493,OQ271182,OQ271182.1,"Mamastrovirus sp. isolate MAG-823 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-823,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2494,OQ271181,OQ271181.1,"Mamastrovirus sp. isolate MAG-714 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-714,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
2495,OQ271180,OQ271180.1,"Mamastrovirus sp. isolate MAG-706 RNA-dependent RNA polymerase gene, partial cds",01-OCT-2023,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,333.0,"Chidoti,V., Abdi,M., De Nys,H., Getrude,M., Laure,G., Ngoni,C., Gift,M., Valerie,P., Davies,P., Ellen,M., Dorothee,M., Elizabeth,G., Mathieu,B. and Florian,L.",,MAG-706,Zimbabwe,,2020,feces,Hipposideros sp. (bat),No,1.0,No,No,NA-NA,,0-333,1.0,NA-NA,,Mammalia
