Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
JQ814852,Ia io picornavirus 1,Ia io picornavirus 1,,,7543,complete,China,Ia io,,"Wu,Z., Ren,X., Yang,L., Hu,Y., Yang,J., He,G., Zhang,J., Dong,J., Sun,L., Du,J., Liu,L., Xue,Y., Wang,J., Yang,F., Zhang,S., Jin,Q., Qian,Z., Zhu,Y.",2010-10,2012-06-06,ssRNA(+)
HQ595340,Bat picornavirus 1,Bat picornavirus 1,,,7753,complete,Hong Kong,Miniopterus pusillus,,"Lau,S.K., Woo,P.C., Lai,K.K., Huang,Y., Yip,C.C., Shek,C.T., Lee,P., Lam,C.S., Chan,K.H., Yuen,K.Y.",2008-12-19,2011-08-16,ssRNA(+)
HQ595341,Bat picornavirus 1,Bat picornavirus 1,,,7641,complete,Hong Kong,Miniopterus schreibersii,,"Lau,S.K., Woo,P.C., Lai,K.K., Huang,Y., Yip,C.C., Shek,C.T., Lee,P., Lam,C.S., Chan,K.H., Yuen,K.Y.",2008-10-17,2011-08-16,ssRNA(+)
HQ595342,Bat picornavirus 2,Bat picornavirus 2,,,7693,complete,Hong Kong,Miniopterus magnater,,"Lau,S.K., Woo,P.C., Lai,K.K., Huang,Y., Yip,C.C., Shek,C.T., Lee,P., Lam,C.S., Chan,K.H., Yuen,K.Y.",2005-09-06,2011-08-16,ssRNA(+)
HQ595343,Bat picornavirus 2,Bat picornavirus 2,,,7625,complete,Hong Kong,Miniopterus magnater,,"Lau,S.K., Woo,P.C., Lai,K.K., Huang,Y., Yip,C.C., Shek,C.T., Lee,P., Lam,C.S., Chan,K.H., Yuen,K.Y.",2005-09-01,2011-08-16,ssRNA(+)
HQ595344,Bat picornavirus 3,Bat picornavirus 3,,,7749,complete,Hong Kong,Rhinolophus sinicus,,"Lau,S.K., Woo,P.C., Lai,K.K., Huang,Y., Yip,C.C., Shek,C.T., Lee,P., Lam,C.S., Chan,K.H., Yuen,K.Y.",2008-09-12,2011-08-16,ssRNA(+)
HQ595345,Bat picornavirus 3,Bat picornavirus 3,,,7672,complete,Hong Kong,Hipposideros armiger,,"Lau,S.K., Woo,P.C., Lai,K.K., Huang,Y., Yip,C.C., Shek,C.T., Lee,P., Lam,C.S., Chan,K.H., Yuen,K.Y.",2008-09-12,2011-08-16,ssRNA(+)
PV833570,Eidolon dupreanum kobuvirus,Eidolon dupreanum kobuvirus,,FEC165,8190,partial,Madagascar: AngavoKely,Eidolon dupreanum,feces,"Gonzalez,F.L., Kettenburg,G., Ranaivoson,H.C., Andrianiaina,A., Andry,S., Raharinosy,V., Randriambolamanantsoa,T.H., Lacoste,V., Dussart,P., Heraud,J.-M., Brook,C.E.",2018-07-27,2025-07-02,ssRNA(+)
PV833571,Eidolon dupreanum kobuvirus,Eidolon dupreanum kobuvirus,,FEC073,8222,partial,Madagascar: AngavoBe,Eidolon dupreanum,feces,"Gonzalez,F.L., Kettenburg,G., Ranaivoson,H.C., Andrianiaina,A., Andry,S., Raharinosy,V., Randriambolamanantsoa,T.H., Lacoste,V., Dussart,P., Heraud,J.-M., Brook,C.E.",2018-09-09,2025-07-02,ssRNA(+)
PV833572,Eidolon dupreanum kobuvirus,Eidolon dupreanum kobuvirus,,FEC050,8256,partial,Madagascar: AngavoBe,Eidolon dupreanum,feces,"Gonzalez,F.L., Kettenburg,G., Ranaivoson,H.C., Andrianiaina,A., Andry,S., Raharinosy,V., Randriambolamanantsoa,T.H., Lacoste,V., Dussart,P., Heraud,J.-M., Brook,C.E.",2018-04-09,2025-07-02,ssRNA(+)
PV833573,Eidolon dupreanum kobuvirus,Eidolon dupreanum kobuvirus,,FEC051,8256,partial,Madagascar: AngavoBe,Eidolon dupreanum,feces,"Gonzalez,F.L., Kettenburg,G., Ranaivoson,H.C., Andrianiaina,A., Andry,S., Raharinosy,V., Randriambolamanantsoa,T.H., Lacoste,V., Dussart,P., Heraud,J.-M., Brook,C.E.",2018-04-09,2025-07-02,ssRNA(+)
PV833576,Eidolon dupreanum kobuvirus,Eidolon dupreanum kobuvirus,,FEC053,8195,partial,Madagascar: AngavoBe,Eidolon dupreanum,feces,"Gonzalez,F.L., Kettenburg,G., Ranaivoson,H.C., Andrianiaina,A., Andry,S., Raharinosy,V., Randriambolamanantsoa,T.H., Lacoste,V., Dussart,P., Heraud,J.-M., Brook,C.E.",2018-04-09,2025-07-02,ssRNA(+)
PV833577,Eidolon dupreanum kobuvirus,Eidolon dupreanum kobuvirus,,FEC057,8201,partial,Madagascar: AngavoBe,Eidolon dupreanum,feces,"Gonzalez,F.L., Kettenburg,G., Ranaivoson,H.C., Andrianiaina,A., Andry,S., Raharinosy,V., Randriambolamanantsoa,T.H., Lacoste,V., Dussart,P., Heraud,J.-M., Brook,C.E.",2018-04-09,2025-07-02,ssRNA(+)
PV833578,Eidolon dupreanum kobuvirus,Eidolon dupreanum kobuvirus,,FEC089,8212,partial,Madagascar: AngavoKely,Eidolon dupreanum,feces,"Gonzalez,F.L., Kettenburg,G., Ranaivoson,H.C., Andrianiaina,A., Andry,S., Raharinosy,V., Randriambolamanantsoa,T.H., Lacoste,V., Dussart,P., Heraud,J.-M., Brook,C.E.",2018-02-15,2025-07-02,ssRNA(+)
PV833579,Eidolon dupreanum kobuvirus,Eidolon dupreanum kobuvirus,,FEC086,8245,partial,Madagascar: AngavoKely,Eidolon dupreanum,feces,"Gonzalez,F.L., Kettenburg,G., Ranaivoson,H.C., Andrianiaina,A., Andry,S., Raharinosy,V., Randriambolamanantsoa,T.H., Lacoste,V., Dussart,P., Heraud,J.-M., Brook,C.E.",2018-02-15,2025-07-02,ssRNA(+)
PV833581,Eidolon dupreanum kobuvirus,Eidolon dupreanum kobuvirus,,FEC056,8214,partial,Madagascar: AngavoBe,Eidolon dupreanum,feces,"Gonzalez,F.L., Kettenburg,G., Ranaivoson,H.C., Andrianiaina,A., Andry,S., Raharinosy,V., Randriambolamanantsoa,T.H., Lacoste,V., Dussart,P., Heraud,J.-M., Brook,C.E.",2018-04-09,2025-07-02,ssRNA(+)
PV833582,Eidolon dupreanum kobuvirus,Eidolon dupreanum kobuvirus,,FEC074,3651,partial,Madagascar: AngavoBe,Eidolon dupreanum,feces,"Gonzalez,F.L., Kettenburg,G., Ranaivoson,H.C., Andrianiaina,A., Andry,S., Raharinosy,V., Randriambolamanantsoa,T.H., Lacoste,V., Dussart,P., Heraud,J.-M., Brook,C.E.",2018-09-09,2025-07-02,ssRNA(+)
PV788825,Rousettus madagascariensis picornavirus 4,Rousettus madagascariensis picornavirus 4,,MIZ188,7667,partial,Madagascar,Rousettus madagascariensis,feces,"Kettenburg,G.",2018-04-14,2025-06-23,ssRNA(+)
PV788826,Rousettus madagascariensis teschovirus 2,Rousettus madagascariensis teschovirus 2,,MIZ231,6984,partial,Madagascar,Rousettus madagascariensis,feces,"Kettenburg,G.",2018-09-11,2025-06-23,ssRNA(+)
PQ621837,hepatovirus H2,Hepatovirus hedgi,,YNBS06,7403,partial,China: Yunnan,Hipposideros armiger,"kidney, abdominal cavity","Shi,M., Feng,G., Kuang,G.",2017,2025-04-29,ssRNA(+)
PV383542,Bat picornavirus,Shanbavirus aminfuli,,F45,7421,partial,Portugal,Myotis myotis,feces,"Hemnani,M., Karatas,M., Rebelo,H., Mesquita,J., Matthijnssens,J.",2022-06,2025-04-08,ssRNA(+)
PV383543,Bat picornavirus,Shanbavirus aminfuli,,F49,8557,partial,Portugal,Miniopterus schreibersii,feces,"Hemnani,M., Karatas,M., Rebelo,H., Mesquita,J., Matthijnssens,J.",2022-06,2025-04-08,ssRNA(+)
PV383544,Bat picornavirus,Shanbavirus aminfuli,,F50.1,7036,partial,Portugal,Myotis myotis,feces,"Hemnani,M., Karatas,M., Rebelo,H., Mesquita,J., Matthijnssens,J.",2022-06,2025-04-08,ssRNA(+)
PV383545,Bat picornavirus,Shanbavirus aminfuli,,F50.2,7656,partial,Portugal,Myotis myotis,feces,"Hemnani,M., Karatas,M., Rebelo,H., Mesquita,J., Matthijnssens,J.",2022-06,2025-04-08,ssRNA(+)
PV383546,Bat picornavirus,Shanbavirus aminfuli,,F51.1,9293,partial,Portugal,Myotis myotis,feces,"Hemnani,M., Karatas,M., Rebelo,H., Mesquita,J., Matthijnssens,J.",2022-06,2025-04-08,ssRNA(+)
PV383547,Bat picornavirus,Shanbavirus aminfuli,,F51.2,8440,partial,Portugal,Myotis myotis,feces,"Hemnani,M., Karatas,M., Rebelo,H., Mesquita,J., Matthijnssens,J.",2022-06,2025-04-08,ssRNA(+)
PP654852,Fontanars bat-associated kobuvirus,Fontanars bat-associated kobuvirus,,Fontanars,8480,partial,"Spain: Fontanars del Aforins, Valencia",Pipistrellus kuhlii,feces,"Carrascosa-Saez,M., Buigues,J., Vinals,A., Andreu-Moreno,I., Martinez-Recio,R., Soriano-Tordera,C., Monros,J.S., Cuevas,J.M., Sanjuan,R.",2022,2024-08-12,ssRNA(+)
PP654855,Cabezo Gordo bat-associated mischivirus,Cabezo Gordo bat-associated mischivirus,,Cabezo,8481,partial,Spain: Murcia,Miniopterus schreibersii,feces,"Carrascosa-Saez,M., Buigues,J., Vinals,A., Andreu-Moreno,I., Martinez-Recio,R., Soriano-Tordera,C., Monros,J.S., Cuevas,J.M., Sanjuan,R.",2022-06,2024-08-12,ssRNA(+)
PP745738,Bat picornavirus BtSY4,Bat picornavirus BtSY4,,003_62695,6996,partial,China,Rhinolophus sp.,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2018,2024-07-16,ssRNA(+)
PP745757,Shanbavirus A,Shanbavirus aminfuli,,060_401,6942,partial,China,Rhinolophus sinicus,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-07-16,ssRNA(+)
PP745758,Shanbavirus A,Shanbavirus aminfuli,,060_903,6951,partial,China,Rhinolophus sinicus,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-07-16,ssRNA(+)
PP745772,Shanbavirus A,Shanbavirus aminfuli,,086_9404,6903,partial,China,Rhinolophus sinicus,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-07-16,ssRNA(+)
PP745773,Shanbavirus A,Shanbavirus aminfuli,,087_110639,7035,partial,China,Rhinolophus sinicus,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-07-16,ssRNA(+)
PP745774,Shanbavirus A,Shanbavirus aminfuli,,088_11292,7086,partial,China,Rhinolophus sinicus,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-07-16,ssRNA(+)
PP745776,Shanbavirus A,Shanbavirus aminfuli,,096_15727,6933,partial,China,Rhinolophus affinis,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-07-16,ssRNA(+)
PP745781,Bat picornavirus BtSY1,Bat picornavirus BtSY1,,106_27380,7176,partial,China,Rhinolophus affinis,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-07-16,ssRNA(+)
PP745783,Shanbavirus A,Shanbavirus aminfuli,,106_991,7005,partial,China,Rhinolophus affinis,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-07-16,ssRNA(+)
PP745905,Bat picornavirus 7,Bat picornavirus 7,,241_29733,7107,partial,China,Taphozous melanopogon,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-07-16,ssRNA(+)
PP745908,Bat picornavirus 7,Bat picornavirus 7,,242_3518,7176,partial,China,Taphozous melanopogon,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-07-16,ssRNA(+)
PP745912,Bat picornavirus 7,Bat picornavirus 7,,243_61024,7107,partial,China,Taphozous melanopogon,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-07-16,ssRNA(+)
PP745913,Bat picornavirus 7,Bat picornavirus 7,,243_71676,6336,partial,China,Taphozous melanopogon,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-07-16,ssRNA(+)
PP745942,Bat picornavirus 8,Bat picornavirus 8,,273_1292,7389,partial,China,Miniopterus schreibersii,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-07-16,ssRNA(+)
PP745962,Bat picornavirus 9,Bat picornavirus 9,,289_2331,7500,partial,China,Ia io,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-07-16,ssRNA(+)
PP745973,Bat picornavirus BtSY4,Bat picornavirus BtSY4,,300_641,3126,partial,China,Rhinolophus ferrumequinum,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-07-16,ssRNA(+)
PP745977,Shanbavirus A,Shanbavirus aminfuli,,310_2833,6954,partial,China,Rhinolophus sp.,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-07-16,ssRNA(+)
PP745979,Shanbavirus A,Shanbavirus aminfuli,,313_39225,7203,partial,China,Chiroptera sp.,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-07-16,ssRNA(+)
PP745985,Shanbavirus A,Shanbavirus aminfuli,,321_3816,7188,partial,China,Miniopterus schreibersii,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-07-16,ssRNA(+)
PP745996,Bat picornavirus BtSY4,Bat picornavirus BtSY4,,328_61997,6927,partial,China,Rhinolophus ferrumequinum,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-07-16,ssRNA(+)
PP745999,Shanbavirus A,Shanbavirus aminfuli,,340_1681930,7035,partial,China,Rhinolophus sinicus,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2021,2024-07-16,ssRNA(+)
PP746000,Bat picornavirus BtSY4,Bat picornavirus BtSY4,,357_7225,7068,partial,China,Rhinolophus sinicus,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2021,2024-07-16,ssRNA(+)
PP746003,Shanbavirus A,Shanbavirus aminfuli,,366_433975,6933,partial,China,Rhinolophus affinis,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2021,2024-07-16,ssRNA(+)
PP746004,Shanbavirus A,Shanbavirus aminfuli,,368_1061501,7035,partial,China,Rhinolophus sinicus,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2021,2024-07-16,ssRNA(+)
PP766455,Eidolon dupreanum hepatovirus,Eidolon dupreanum hepatovirus,,KEL72,7285,partial,Madagascar,Eidolon dupreanum,,"Kettenburg,G.",2014-12-17,2024-06-05,ssRNA(+)
PP766456,Eidolon dupreanum kobuvirus,Eidolon dupreanum kobuvirus,,KEL86,8228,partial,Madagascar,Eidolon dupreanum,,"Kettenburg,G.",2014-12-18,2024-06-05,ssRNA(+)
PP766457,Eidolon dupreanum hepatovirus,Eidolon dupreanum hepatovirus,,KEL148.1,7337,partial,Madagascar,Eidolon dupreanum,feces,"Kettenburg,G.",2018-02-15,2024-06-05,ssRNA(+)
PP766467,Eidolon dupreanum cardiovirus,Eidolon dupreanum cardiovirus,,KEL367,3605,partial,Madagascar,Eidolon dupreanum,,"Kettenburg,G.",2019-08-24,2024-06-05,ssRNA(+)
OR951209,Scotophilus bat parechovirus,Scotophilus bat parechovirus,,GX2018,6708,partial,China,Scotophilus kuhlii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2018,2024-03-19,ssRNA(+)
OR951211,Bat kobuvirus,Bat kobuvirus,,GX2018,6913,partial,China,Scotophilus kuhlii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2018,2024-03-19,ssRNA(+)
OR951219,Bat kobuvirus,Bat kobuvirus,,HI2018,7351,partial,China,Scotophilus kuhlii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2018,2024-03-19,ssRNA(+)
OR951221,Bat picornavirus,Shanbavirus aminfuli,,HI2018,4081,partial,China,Pipistrellus abramus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2018,2024-03-19,ssRNA(+)
OR951222,Bat kobuvirus,Bat kobuvirus,,YN2020,4275,partial,China,Rhinolophus affinis,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951224,Bat picornavirus,Shanbavirus aminfuli,,YN2020,6124,partial,China,Hipposideros pomona,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951226,Hipposideros bat shanbavirus,Hipposideros bat shanbavirus,,GX2020,4740,partial,China,Hipposideros larvatus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951227,Bat picornavirus,Shanbavirus aminfuli,,GX2016,6795,partial,China,Rhinolophus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951229,Rhinolophus bat shanbavirus,Rhinolophus bat shanbavirus,,GX2016,3521,partial,China,Rhinolophus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951232,Rhinolophus bat shanbavirus,Rhinolophus bat shanbavirus,,GX2017,6634,partial,China,Rhinolophus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951237,Rhinolophus bat shanbavirus,Rhinolophus bat shanbavirus,,GD2019,6537,partial,China,Rhinolophus sinicus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-03-19,ssRNA(+)
OR951238,Bat picornavirus 3,Bat picornavirus 3,,GD2017,7327,partial,China,Rhinolophus affinis,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951241,Bat picornavirus 3,Bat picornavirus 3,,GD2019_100_36527,7343,partial,China,Rhinolophus affinis,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-03-19,ssRNA(+)
OR951242,Bat picornavirus 3,Bat picornavirus 3,,GD2019_100_57746,7271,partial,China,Rhinolophus affinis,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-03-19,ssRNA(+)
OR951244,Rhinolophus bat shanbavirus,Rhinolophus bat shanbavirus,,HI2019,6634,partial,China,Rhinolophus affinis,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-03-19,ssRNA(+)
OR951245,Bat kobuvirus,Bat kobuvirus,,HI2019,7700,partial,China,Rhinolophus affinis,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-03-19,ssRNA(+)
OR951246,Bat picornavirus 3,Bat picornavirus 3,,HI2019,7347,partial,China,Rhinolophus affinis,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-03-19,ssRNA(+)
OR951250,Bat kobuvirus,Bat kobuvirus,,GD2017,5513,partial,China,Scotophilus kuhlii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951253,Bat kobuvirus,Bat kobuvirus,,GD2018_174_30389,7680,partial,China,Scotophilus kuhlii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2018,2024-03-19,ssRNA(+)
OR951255,Scotophilus bat parechovirus,Scotophilus bat parechovirus,,GD2018_174_35262,3754,partial,China,Scotophilus kuhlii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2018,2024-03-19,ssRNA(+)
OR951256,Bat kobuvirus,Bat kobuvirus,,GD2018_174_126198,7512,partial,China,Scotophilus kuhlii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2018,2024-03-19,ssRNA(+)
OR951257,Bat kobuvirus,Bat kobuvirus,,GD2018,4202,partial,China,Scotophilus kuhlii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2018,2024-03-19,ssRNA(+)
OR951259,Scotophilus bat parechovirus,Scotophilus bat parechovirus,,GD2018,4180,partial,China,Scotophilus kuhlii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2018,2024-03-19,ssRNA(+)
OR951260,Bat kobuvirus,Bat kobuvirus,,GD2018_176_172338,7871,partial,China,Scotophilus kuhlii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2018,2024-03-19,ssRNA(+)
OR951262,Bat kobuvirus,Bat kobuvirus,,GD2018,7499,partial,China,Scotophilus kuhlii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2018,2024-03-19,ssRNA(+)
OR951267,Bat kobuvirus,Bat kobuvirus,,GX2017,7519,partial,China,Scotophilus kuhlii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951268,Scotophilus bat parechovirus,Scotophilus bat parechovirus,,GX2017_186_37919,6575,partial,China,Scotophilus kuhlii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951271,Hipposideros bat hepatovirus,Hipposideros bat hepatovirus,,GD2016,6840,partial,China,Hipposideros larvatus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951272,Hipposideros bat hepatovirus,Hipposideros bat hepatovirus,,GD2018,6798,partial,China,Hipposideros larvatus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2018,2024-03-19,ssRNA(+)
OR951274,Hipposideros bat hepatovirus,Hipposideros bat hepatovirus,,GX2017,6839,partial,China,Hipposideros larvatus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951275,Hipposideros bat hepatovirus,Hipposideros bat hepatovirus,,HI2019,6907,partial,China,Hipposideros larvatus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-03-19,ssRNA(+)
OR951278,Myotis bat parechovirus 1,Myotis bat parechovirus 1,,GD2017_208_30113,7025,partial,China,Myotis pilosus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951280,Kobuvirus femyomini,Kobuvirus femyomini,,GD2017_210_473,7542,partial,China,Myotis pilosus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951282,Kobuvirus femyomini,Kobuvirus femyomini,,GD2017_210_5247,7755,partial,China,Myotis pilosus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
