ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate_x,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,1A,1A-strand,1B,1B-strand,2,2-strand,class,1A_length,1B_length,2_length
PP871757,PP871757.1,MAG: Mamastrovirus sp. isolate astro_vt_39 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,2868.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_39,Viet Nam,,21-Dec-2014/21-Sep-2016,"rectal swab, feces",Sus scrofa (wild boar),Yes,2.0,No,No,4-2479,1.0,2433-2868,1.0,NA-NA,,Mammalia,2475.0,435.0,
PP871756,PP871756.1,MAG: Mamastrovirus sp. isolate astro_vt_38 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,4010.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_38,Viet Nam,,21-Dec-2014/02-Apr-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,2.0,No,No,16-2818,1.0,2727-3954,1.0,NA-NA,,Mammalia,2802.0,1227.0,
PP871755,PP871755.1,MAG: Mamastrovirus sp. isolate astro_vt_37 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,4308.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_37,Viet Nam,,21-Dec-2014/02-Apr-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,2.0,No,No,433-2908,1.0,2862-4308,1.0,NA-NA,,Mammalia,2475.0,1446.0,
PP871754,PP871754.1,MAG: Mamastrovirus sp. isolate astro_vt_36 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,3540.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_36,Viet Nam,,21-Dec-2014/02-Apr-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,2.0,No,No,436-2995,1.0,2931-3540,1.0,NA-NA,,Mammalia,2559.0,609.0,
PP871753,PP871753.1,MAG: Mamastrovirus sp. isolate astro_vt_35 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,2766.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_35,Viet Nam,,21-Dec-2014/02-Apr-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,2.0,No,No,0-1134,1.0,1088-2597,1.0,NA-NA,,Mammalia,1134.0,1509.0,
PP871752,PP871752.1,MAG: Mamastrovirus sp. isolate astro_vt_34 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6692.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_34,Viet Nam,,29-May-2014/14-Jul-2016,"rectal swab, feces",Sus scrofa (wild boar),Yes,3.0,No,No,0-2769,1.0,2702-4217,1.0,4173-6690,1.0,Mammalia,2769.0,1515.0,2517.0
PP871751,PP871751.1,MAG: Mamastrovirus sp. isolate astro_vt_33 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6503.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_33,Viet Nam,,29-May-2014/14-Jul-2016,"rectal swab, feces",Sus scrofa (wild boar),Yes,3.0,No,No,148-2623,1.0,2577-4086,1.0,3973-6397,1.0,Mammalia,2475.0,1509.0,2424.0
PP871750,PP871750.1,MAG: Mamastrovirus sp. isolate astro_vt_32 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,3423.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_32,Viet Nam,,29-May-2014/14-Jul-2016,"rectal swab, feces",Sus scrofa (wild boar),Yes,2.0,No,No,331-2878,1.0,2814-3423,1.0,NA-NA,,Mammalia,2547.0,609.0,
PP871749,PP871749.1,MAG: Mamastrovirus sp. isolate astro_vt_31 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6674.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_31,Viet Nam,,29-May-2014/14-Jul-2016,"rectal swab, feces",Sus scrofa (wild boar),Yes,3.0,No,No,161-2792,1.0,2728-4237,1.0,4229-6659,1.0,Mammalia,2631.0,1509.0,2430.0
PP871748,PP871748.1,MAG: Mamastrovirus sp. isolate astro_vt_30 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6486.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_30,Viet Nam,,29-May-2014/14-Jul-2016,"rectal swab, feces",Sus scrofa (wild boar),Yes,3.0,No,No,170-2645,1.0,2599-4108,1.0,3995-6419,1.0,Mammalia,2475.0,1509.0,2424.0
PP871747,PP871747.1,MAG: Mamastrovirus sp. isolate astro_vt_29 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,2941.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_29,Viet Nam,,29-May-2014/14-Jul-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,2.0,No,No,71-2546,1.0,2500-2941,1.0,NA-NA,,Mammalia,2475.0,441.0,
PP871746,PP871746.1,MAG: Mamastrovirus sp. isolate astro_vt_28 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,3612.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_28,Viet Nam,,29-May-2014/14-Jul-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,2.0,No,No,37-2515,1.0,2469-3612,1.0,NA-NA,,Mammalia,2478.0,1143.0,
PP871745,PP871745.1,MAG: Mamastrovirus sp. isolate astro_vt_27 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6891.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_27,Viet Nam,,29-May-2014/14-Jul-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,3.0,No,No,225-2829,1.0,2765-4274,1.0,4266-6804,1.0,Mammalia,2604.0,1509.0,2538.0
PP871744,PP871744.1,MAG: Mamastrovirus sp. isolate astro_vt_26 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6451.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_26,Viet Nam,,31-Aug-2014/22-Sep-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,3.0,No,No,189-2667,1.0,2621-4130,1.0,4122-6423,1.0,Mammalia,2478.0,1509.0,2301.0
PP871742,PP871742.1,MAG: Mamastrovirus sp. isolate astro_vt_24 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6498.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_24,Viet Nam,,31-Aug-2014/22-Sep-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,3.0,No,No,105-2754,1.0,2690-4199,1.0,4191-6498,1.0,Mammalia,2649.0,1509.0,2307.0
PP871741,PP871741.1,MAG: Mamastrovirus sp. isolate astro_vt_23 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,3806.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_23,Viet Nam,,27-Jan-2015/25-Feb-2016,rectal swab,Sus scrofa domesticus,Yes,2.0,No,No,0-2403,1.0,2339-3806,1.0,NA-NA,,Mammalia,2403.0,1467.0,
PP871740,PP871740.1,MAG: Mamastrovirus sp. isolate astro_vt_22 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,3944.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_22,Viet Nam,,27-Jan-2015/25-Feb-2016,rectal swab,Sus scrofa domesticus,Yes,2.0,No,No,129-2604,1.0,2558-3944,1.0,NA-NA,,Mammalia,2475.0,1386.0,
PP871739,PP871739.1,MAG: Mamastrovirus sp. isolate astro_vt_21 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,3629.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_21,Viet Nam,,27-Jan-2015/25-Feb-2016,rectal swab,Sus scrofa domesticus,Yes,2.0,No,No,171-2733,1.0,2669-3629,1.0,NA-NA,,Mammalia,2562.0,960.0,
PP871738,PP871738.1,MAG: Mamastrovirus sp. isolate astro_vt_20 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,2135.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_20,Viet Nam,,27-Jan-2015/25-Feb-2016,rectal swab,Sus scrofa domesticus,Yes,2.0,No,No,0-690,1.0,626-2135,1.0,NA-NA,,Mammalia,690.0,1509.0,
PP871737,PP871737.1,MAG: Mamastrovirus sp. isolate astro_vt_19 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6644.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_19,Viet Nam,,27-Jan-2015/25-Feb-2016,rectal swab,Sus scrofa domesticus,Yes,3.0,No,No,142-2617,1.0,2571-4080,1.0,4072-6385,1.0,Mammalia,2475.0,1509.0,2313.0
PP871736,PP871736.1,MAG: Mamastrovirus sp. isolate astro_vt_18 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,3100.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_18,Viet Nam,,08-Jul-2014/11-Oct-2016,rectal swab,Sus scrofa domesticus,Yes,2.0,No,No,29-2504,1.0,2458-3100,1.0,NA-NA,,Mammalia,2475.0,642.0,
PP871735,PP871735.1,MAG: Mamastrovirus sp. isolate astro_vt_17 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,2957.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_17,Viet Nam,,08-Jul-2014/11-Oct-2016,rectal swab,Sus scrofa domesticus,Yes,2.0,No,No,39-2514,1.0,2468-2957,1.0,NA-NA,,Mammalia,2475.0,489.0,
PP871734,PP871734.1,MAG: Mamastrovirus sp. isolate astro_vt_16 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6345.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_16,Viet Nam,,08-Jul-2014/11-Oct-2016,rectal swab,Sus scrofa domesticus,Yes,3.0,No,No,29-2831,1.0,2740-3967,1.0,3911-6227,1.0,Mammalia,2802.0,1227.0,2316.0
PP871733,PP871733.1,MAG: Mamastrovirus sp. isolate astro_vt_15 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,4341.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_15,Viet Nam,,08-Jul-2014/11-Oct-2016,rectal swab,Sus scrofa domesticus,Yes,2.0,No,No,299-2861,1.0,2797-4306,1.0,NA-NA,,Mammalia,2562.0,1509.0,
PP871732,PP871732.1,MAG: Mamastrovirus sp. isolate astro_vt_14 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,3261.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_14,Viet Nam,,08-Jul-2014/11-Oct-2016,rectal swab,Sus scrofa domesticus,Yes,2.0,No,No,379-2944,1.0,2880-3261,1.0,NA-NA,,Mammalia,2565.0,381.0,
PP871731,PP871731.1,MAG: Mamastrovirus sp. isolate astro_vt_13 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,7093.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_13,Viet Nam,,19-Jun-2014/18-Nov-2016,rectal swab,Canis lupus familiaris,Yes,3.0,No,No,501-3135,1.0,3071-4580,1.0,4572-7062,1.0,Mammalia,2634.0,1509.0,2490.0
PP871729,PP871729.1,MAG: Mamastrovirus sp. isolate astro_vt_11 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6243.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_11,Viet Nam,,19-Jun-2014/18-Nov-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,3.0,No,No,0-2418,1.0,2369-3881,1.0,3873-6204,1.0,Mammalia,2418.0,1512.0,2331.0
PP871728,PP871728.1,MAG: Mamastrovirus sp. isolate astro_vt_10 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6667.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_10,Viet Nam,,19-Jun-2014/18-Nov-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,3.0,No,No,307-2782,1.0,2736-4245,1.0,4237-6589,1.0,Mammalia,2475.0,1509.0,2352.0
PP871727,PP871727.1,MAG: Mamastrovirus sp. isolate astro_vt_9 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,3602.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_9,Viet Nam,,19-Jun-2014/31-Jul-2015,feces,Sus scrofa domesticus,Yes,2.0,No,No,339-2814,1.0,2768-3602,1.0,NA-NA,,Mammalia,2475.0,834.0,
PP871726,PP871726.1,MAG: Mamastrovirus sp. isolate astro_vt_8 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6328.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_8,Viet Nam,,01-Apr-2015/12-Dec-2016,rectal swab,Sus scrofa domesticus,Yes,3.0,No,No,32-2507,1.0,2461-3970,1.0,3962-6272,1.0,Mammalia,2475.0,1509.0,2310.0
PP871725,PP871725.1,MAG: Mamastrovirus sp. isolate astro_vt_7 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,5721.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_7,Viet Nam,,01-Apr-2015/12-Dec-2016,rectal swab,Sus scrofa domesticus,Yes,3.0,No,No,342-2817,1.0,2771-4280,1.0,4224-5721,1.0,Mammalia,2475.0,1509.0,1497.0
PP871724,PP871724.1,MAG: Mamastrovirus sp. isolate astro_vt_6 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,2111.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_6,Viet Nam,,03-Jun-2014,feces,Sus scrofa (wild boar),Yes,2.0,No,No,0-2025,1.0,2024-2111,1.0,NA-NA,,Mammalia,2025.0,87.0,
PP871723,PP871723.1,MAG: Mamastrovirus sp. isolate astro_vt_5 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,2305.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_5,Viet Nam,,21-Dec-2014/02-Apr-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,1.0,No,No,4-2305,1.0,NA-NA,,NA-NA,,Mammalia,2301.0,,
PP871721,PP871721.1,MAG: Mamastrovirus sp. isolate astro_vt_3 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6497.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_3,Viet Nam,,29-May-2014/14-Jul-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,3.0,No,No,74-2678,1.0,2614-4123,1.0,4115-6497,1.0,Mammalia,2604.0,1509.0,2382.0
PP871720,PP871720.1,MAG: Mamastrovirus sp. isolate astro_vt_2 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6424.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_2,Viet Nam,,08-Jul-2014/11-Oct-2016,rectal swab,Sus scrofa domesticus,Yes,3.0,No,No,6-2535,1.0,2492-4064,1.0,4053-6357,1.0,Mammalia,2529.0,1572.0,2304.0
PP871719,PP871719.1,MAG: Mamastrovirus sp. isolate astro_vt_1 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,5754.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_1,Viet Nam,,15-Aug-2014,feces,Sus scrofa domesticus,Yes,3.0,No,No,33-2601,1.0,2561-4073,1.0,4056-5754,1.0,Mammalia,2568.0,1512.0,1698.0
PV076095,PV076095.1,"Bovine astrovirus isolate BoAstV/Cow/ETH/2023/J09, complete genome",10-JUN-2025,Bovine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6236.0,"Bergholm,J., Tessema,T.S., Blomstrom,A.-L. and Berg,M.",,BoAstV/Cow/ETH/2023/J09,Ethiopia,,2023,feces,Bos taurus,No,2.0,No,No,0-2445,1.0,NA-NA,,3852-6159,1.0,Mammalia,2445.0,,2307.0
