Model_ID,Taxon,TxID,Model type,Range,Positive terms,Negative terms,Start coordinate,End coordinate,Cutoff score,Length,# of sequences,Segmentation,Genome type,Sense,Topology,Baltimore,Parent,Natural Host,Organism_type
vHMM_13101,Picornaviridae,12058,short,wide,polyprotein,,5046,5105,60,60,300,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13268,Cosavirus,586418,short,narrow,polyprotein,,690,709,30.72,20,11,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13269,Cosavirus,586418,short,narrow,polyprotein,,5068,5094,65.98,27,8,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13270,Cosavirus,586418,short,narrow,polyprotein,,6714,6747,71.7,34,11,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13271,Cosavirus,586418,short,narrow,polyprotein,,6329,6352,43.82,24,9,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18373,Cosavirus,586418,full-length,narrow,polyprotein,,1,2124,3415.5,2124,16,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13255,Cardiovirus,12103,short,narrow,polyprotein,,689,709,23.04,21,9,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13256,Cardiovirus,12103,short,narrow,polyprotein,,6109,6128,25.4,20,11,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13257,Cardiovirus,12103,short,narrow,polyprotein,,6328,6352,44.16,25,10,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13258,Cardiovirus,12103,short,narrow,polyprotein,,6709,6747,84.64,39,10,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13259,Cardiovirus,12103,short,narrow,polyprotein,,1544,1566,43.68,23,7,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18372,Cardiovirus,12103,full-length,narrow,polyprotein,,1,2290,3404.02,2290,13,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13289,Enterovirus,12059,short,narrow,polyprotein,,625,649,25,25,226,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18375,Enterovirus,12059,full-length,narrow,polyprotein,,1,2172,2870.06,2172,793,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13388,Kobuvirus,194960,short,narrow,polyprotein,,499,529,31,31,24,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13613,Sakobuvirus,1659770,short,narrow,polyprotein,,1180,1208,63.9,29,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13614,Sakobuvirus,1659770,short,narrow,polyprotein,,375,412,79.84,38,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13615,Sakobuvirus,1659770,short,narrow,polyprotein,,5812,5837,46.64,26,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13616,Sakobuvirus,1659770,short,narrow,polyprotein,,6112,6133,39.2,22,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13617,Sakobuvirus,1659770,short,narrow,polyprotein,,1056,1076,43.44,21,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13618,Sakobuvirus,1659770,short,narrow,polyprotein,,1730,1755,55.92,26,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13619,Sakobuvirus,1659770,short,narrow,polyprotein,,6712,6747,85.2,36,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13620,Sakobuvirus,1659770,short,narrow,polyprotein,,736,773,86.28,38,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13621,Sakobuvirus,1659770,short,narrow,polyprotein,,1544,1581,93.96,38,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13622,Sakobuvirus,1659770,short,narrow,polyprotein,,1365,1384,40.48,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13623,Sakobuvirus,1659770,short,narrow,polyprotein,,6328,6352,56.22,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13624,Sakobuvirus,1659770,short,narrow,polyprotein,,499,538,92.86,40,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13625,Sakobuvirus,1659770,short,narrow,polyprotein,,1635,1655,42.28,21,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13626,Sakobuvirus,1659770,short,narrow,polyprotein,,5047,5086,103.64,40,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13627,Sakobuvirus,1659770,short,narrow,polyprotein,,4927,4951,40.64,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13628,Sakobuvirus,1659770,short,narrow,polyprotein,,2832,2856,47.6,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13629,Sakobuvirus,1659770,short,narrow,polyprotein,,7023,7045,52.66,23,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13630,Sakobuvirus,1659770,short,narrow,polyprotein,,3688,3714,54.96,27,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13631,Sakobuvirus,1659770,short,narrow,polyprotein,,625,649,48.56,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18394,Sakobuvirus,1659770,full-length,narrow,polyprotein,,1,2352,5023.12,2352,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13579,Rafivirus,2560211,short,narrow,polyprotein,,6260,6301,87.76,42,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13580,Rafivirus,2560211,short,narrow,polyprotein,,1636,1655,40.02,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13581,Rafivirus,2560211,short,narrow,polyprotein,,458,482,50.56,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13582,Rafivirus,2560211,short,narrow,polyprotein,,496,551,125.04,56,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13583,Rafivirus,2560211,short,narrow,polyprotein,,7023,7045,49.24,23,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13584,Rafivirus,2560211,short,narrow,polyprotein,,1544,1581,91.72,38,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13585,Rafivirus,2560211,short,narrow,polyprotein,,397,422,54.72,26,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13586,Rafivirus,2560211,short,narrow,polyprotein,,625,649,45.96,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13587,Rafivirus,2560211,short,narrow,polyprotein,,357,391,76.16,35,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13588,Rafivirus,2560211,short,narrow,polyprotein,,1180,1208,65.04,29,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13589,Rafivirus,2560211,short,narrow,polyprotein,,4927,4951,52.4,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13590,Rafivirus,2560211,short,narrow,polyprotein,,744,803,120.82,60,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13591,Rafivirus,2560211,short,narrow,polyprotein,,5046,5085,98.42,40,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13592,Rafivirus,2560211,short,narrow,polyprotein,,1365,1384,39.52,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13593,Rafivirus,2560211,short,narrow,polyprotein,,1868,1890,40.72,23,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13594,Rafivirus,2560211,short,narrow,polyprotein,,6330,6352,49.5,23,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13595,Rafivirus,2560211,short,narrow,polyprotein,,703,732,54.4,30,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13596,Rafivirus,2560211,short,narrow,polyprotein,,6708,6747,95.22,40,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13597,Rafivirus,2560211,short,narrow,polyprotein,,1730,1755,54.4,26,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18392,Rafivirus,2560211,full-length,narrow,polyprotein,,1,2287,4759.08,2287,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13448,Megrivirus,1330069,short,narrow,polyprotein,,1988,2011,24,24,14,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13449,Megrivirus,1330069,short,narrow,polyprotein,,1056,1076,38.28,21,12,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13450,Megrivirus,1330069,short,narrow,polyprotein,,4927,4951,35.28,25,12,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13451,Megrivirus,1330069,short,narrow,polyprotein,,5542,5561,21.2,20,12,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13452,Megrivirus,1330069,short,narrow,polyprotein,,508,531,26.4,24,12,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13453,Megrivirus,1330069,short,narrow,polyprotein,,2832,2856,25,25,14,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13454,Megrivirus,1330069,short,narrow,polyprotein,,6328,6352,39.92,25,10,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13455,Megrivirus,1330069,short,narrow,polyprotein,,6597,6619,23,23,9,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13456,Megrivirus,1330069,short,narrow,polyprotein,,1180,1208,52.26,29,12,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13457,Megrivirus,1330069,short,narrow,polyprotein,,4443,4466,24,24,13,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13458,Megrivirus,1330069,short,narrow,polyprotein,,6715,6747,71.16,33,8,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13459,Megrivirus,1330069,short,narrow,polyprotein,,5813,5850,38,38,13,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13460,Megrivirus,1330069,short,narrow,polyprotein,,1635,1657,26.4,23,13,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13461,Megrivirus,1330069,short,narrow,polyprotein,,6763,6792,57.08,30,9,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18384,Megrivirus,1330069,full-length,narrow,polyprotein,,1,2739,3094.52,2739,14,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13642,Senecavirus,586425,short,narrow,polyprotein,,6809,6829,44.22,21,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13643,Senecavirus,586425,short,narrow,polyprotein,,1941,1963,48.88,23,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13644,Senecavirus,586425,short,narrow,polyprotein,,7001,7021,43.56,21,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13645,Senecavirus,586425,short,narrow,polyprotein,,7026,7045,48.16,20,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13646,Senecavirus,586425,short,narrow,polyprotein,,627,649,42.52,23,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13647,Senecavirus,586425,short,narrow,polyprotein,,688,709,34.32,22,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13648,Senecavirus,586425,short,narrow,polyprotein,,1730,1755,58.3,26,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13649,Senecavirus,586425,short,narrow,polyprotein,,6376,6397,37.92,22,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13650,Senecavirus,586425,short,narrow,polyprotein,,6328,6352,56.1,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13651,Senecavirus,586425,short,narrow,polyprotein,,1187,1208,48.02,22,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13652,Senecavirus,586425,short,narrow,polyprotein,,6709,6747,97.7,39,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13653,Senecavirus,586425,short,narrow,polyprotein,,1544,1571,64.58,28,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18396,Senecavirus,586425,full-length,narrow,polyprotein,,1,2181,4551.02,2181,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13353,Hepatovirus,12091,short,narrow,polyprotein,,4988,5008,39.64,21,13,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13354,Hepatovirus,12091,short,narrow,polyprotein,,6892,6914,30.56,23,14,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13355,Hepatovirus,12091,short,narrow,polyprotein,,4335,4356,22,22,14,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13356,Hepatovirus,12091,short,narrow,polyprotein,,6714,6746,66.5,33,13,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13357,Hepatovirus,12091,short,narrow,polyprotein,,1056,1081,54.46,26,13,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13358,Hepatovirus,12091,short,narrow,polyprotein,,4851,4895,52.64,45,15,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13359,Hepatovirus,12091,short,narrow,polyprotein,,6649,6673,25.68,25,14,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13360,Hepatovirus,12091,short,narrow,polyprotein,,1815,1863,53.52,49,16,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13361,Hepatovirus,12091,short,narrow,polyprotein,,1382,1411,52.98,30,15,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13362,Hepatovirus,12091,short,narrow,polyprotein,,871,894,36.64,24,10,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13363,Hepatovirus,12091,short,narrow,polyprotein,,6756,6777,41,22,14,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13364,Hepatovirus,12091,short,narrow,polyprotein,,6328,6352,39.84,25,12,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13365,Hepatovirus,12091,short,narrow,polyprotein,,6304,6323,23.2,20,15,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13366,Hepatovirus,12091,short,narrow,polyprotein,,4927,4951,27.76,25,15,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13367,Hepatovirus,12091,short,narrow,polyprotein,,4375,4403,29,29,14,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13368,Hepatovirus,12091,short,narrow,polyprotein,,6154,6195,63.5,42,13,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13369,Hepatovirus,12091,short,narrow,polyprotein,,1180,1209,70.54,30,12,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18379,Hepatovirus,12091,full-length,narrow,polyprotein,,1,2234,3387.6,2234,18,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13529,Poecivirus,2560205,short,narrow,polyprotein,,343,364,40.88,22,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13530,Poecivirus,2560205,short,narrow,polyprotein,,4283,4305,42.24,23,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13531,Poecivirus,2560205,short,narrow,polyprotein,,6328,6352,52.76,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13532,Poecivirus,2560205,short,narrow,polyprotein,,6713,6747,81.18,35,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13533,Poecivirus,2560205,short,narrow,polyprotein,,4666,4685,38.24,20,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13534,Poecivirus,2560205,short,narrow,polyprotein,,1266,1307,83.2,42,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13535,Poecivirus,2560205,short,narrow,polyprotein,,1544,1581,91.46,38,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13536,Poecivirus,2560205,short,narrow,polyprotein,,1056,1086,72.9,31,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13537,Poecivirus,2560205,short,narrow,polyprotein,,4443,4466,46.08,24,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13538,Poecivirus,2560205,short,narrow,polyprotein,,6759,6792,79.94,34,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13539,Poecivirus,2560205,short,narrow,polyprotein,,1635,1657,46,23,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13540,Poecivirus,2560205,short,narrow,polyprotein,,1180,1208,65.62,29,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13541,Poecivirus,2560205,short,narrow,polyprotein,,5051,5075,58.58,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13542,Poecivirus,2560205,short,narrow,polyprotein,,4710,4729,28.16,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13543,Poecivirus,2560205,short,narrow,polyprotein,,7023,7045,53.3,23,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13544,Poecivirus,2560205,short,narrow,polyprotein,,5542,5561,43.04,20,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13545,Poecivirus,2560205,short,narrow,polyprotein,,4927,4951,48.24,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13546,Poecivirus,2560205,short,narrow,polyprotein,,1730,1755,55.48,26,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13547,Poecivirus,2560205,short,narrow,polyprotein,,5564,5583,34.4,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18390,Poecivirus,2560205,full-length,narrow,polyprotein,,1,2260,4687.88,2260,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13405,Limnipivirus,1914566,short,narrow,polyprotein,,3802,3848,117.04,47,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13406,Limnipivirus,1914566,short,narrow,polyprotein,,1180,1203,52.2,24,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13407,Limnipivirus,1914566,short,narrow,polyprotein,,1841,1863,35.44,23,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13408,Limnipivirus,1914566,short,narrow,polyprotein,,7172,7200,56.08,29,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13409,Limnipivirus,1914566,short,narrow,polyprotein,,4282,4305,49.36,24,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13410,Limnipivirus,1914566,short,narrow,polyprotein,,1544,1583,89.78,40,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13411,Limnipivirus,1914566,short,narrow,polyprotein,,6722,6747,55.44,26,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13412,Limnipivirus,1914566,short,narrow,polyprotein,,1635,1655,40.32,21,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13413,Limnipivirus,1914566,short,narrow,polyprotein,,4976,5021,103.08,46,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13414,Limnipivirus,1914566,short,narrow,polyprotein,,3177,3211,75.36,35,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13415,Limnipivirus,1914566,short,narrow,polyprotein,,3718,3748,65.84,31,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13416,Limnipivirus,1914566,short,narrow,polyprotein,,6649,6673,51.28,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13417,Limnipivirus,1914566,short,narrow,polyprotein,,3066,3090,52.8,25,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13418,Limnipivirus,1914566,short,narrow,polyprotein,,6891,6923,70.9,33,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13419,Limnipivirus,1914566,short,narrow,polyprotein,,6323,6352,70.36,30,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13420,Limnipivirus,1914566,short,narrow,polyprotein,,4335,4377,88.32,43,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13421,Limnipivirus,1914566,short,narrow,polyprotein,,1730,1755,53.44,26,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13422,Limnipivirus,1914566,short,narrow,polyprotein,,5046,5105,130.46,60,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13423,Limnipivirus,1914566,short,narrow,polyprotein,,6751,6773,43.44,23,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13424,Limnipivirus,1914566,short,narrow,polyprotein,,3637,3683,96.4,47,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13425,Limnipivirus,1914566,short,narrow,polyprotein,,1056,1082,54.98,27,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13426,Limnipivirus,1914566,short,narrow,polyprotein,,1365,1384,34.4,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13427,Limnipivirus,1914566,short,narrow,polyprotein,,4926,4951,52.8,26,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13428,Limnipivirus,1914566,short,narrow,polyprotein,,7007,7046,83.54,40,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18382,Limnipivirus,1914566,full-length,narrow,polyprotein,,1,2310,4622.52,2310,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13144,Ampivirus,1986961,short,narrow,polyprotein,,6740,6773,77.14,34,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13145,Ampivirus,1986961,short,narrow,polyprotein,,5171,5190,36.72,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13146,Ampivirus,1986961,short,narrow,polyprotein,,7075,7103,57.12,29,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13147,Ampivirus,1986961,short,narrow,polyprotein,,4336,4356,38.08,21,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13148,Ampivirus,1986961,short,narrow,polyprotein,,4976,5021,99.58,46,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13149,Ampivirus,1986961,short,narrow,polyprotein,,2123,2150,55.6,28,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13150,Ampivirus,1986961,short,narrow,polyprotein,,1341,1380,60.48,40,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13151,Ampivirus,1986961,short,narrow,polyprotein,,4665,4694,58.72,30,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13152,Ampivirus,1986961,short,narrow,polyprotein,,2043,2072,60.16,30,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13153,Ampivirus,1986961,short,narrow,polyprotein,,5294,5330,75.12,37,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13154,Ampivirus,1986961,short,narrow,polyprotein,,6198,6221,47.36,24,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13155,Ampivirus,1986961,short,narrow,polyprotein,,6878,6910,73.02,33,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13156,Ampivirus,1986961,short,narrow,polyprotein,,6620,6639,37.12,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13157,Ampivirus,1986961,short,narrow,polyprotein,,1988,2011,44.88,24,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13158,Ampivirus,1986961,short,narrow,polyprotein,,5569,5628,120.4,60,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
